0,1.493,55.5,59.84,57.75,59.84,57.75,0
1,1.166,62.97,63.6,61.23,63.6,61.23,1
2,1.112,64.52,64.12,61.29,64.12,61.29,2
3,1.08,65.39,64.92,62.61,64.92,62.61,3
4,1.06,66.0,66.44,63.52,66.44,63.52,4
5,1.044,66.38,65.23,62.77,66.44,63.52,4
6,1.031,66.78,66.62,63.88,66.62,63.88,6
7,1.02,67.1,65.5,63.05,66.62,63.88,6
