ogbn-papers100M,"20,15,10",1024,5000000000,SAGE,3,100.34,0.69,680.54,781.57
friendster,"20,15,10",1024,4000000000,SAGE,1,0.0,14.53,846.06,860.6
friendster,"20,15,10",1024,10000000000,SAGE,1,0.0,1.27,451.72,452.99
friendster,"20,15,10",1024,15000000000,SAGE,1,0.0,1.53,355.29,356.81
igb-full,"20,15,10",1024,15000000000,SAGE,1,0.0,49.79,8739.83,8789.62
igb-full,"20,15,10",1024,45000000000,SAGE,1,0.0,11.65,4901.51,4913.17
igb-full,"20,15,10",1024,75000000000,SAGE,1,0.0,56.56,4720.42,4776.98
